Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Incident Resolution Time (in Hours),Financial Loss (in Million $)
Malware,Education,194617,Insider,Social Engineering,31,96.72
Man-in-the-Middle,Retail,516125,Unknown,Zero-day,67,44.34
Man-in-the-Middle,Telecommunications,393335,Hacker Group,Social Engineering,31,67.72
SQL Injection,Government,197436,Unknown,Zero-day,10,34.09
DDoS,Education,452360,Nation-state,Zero-day,65,31.51
DDoS,Healthcare,913090,Unknown,Zero-day,2,20.39
SQL Injection,Telecommunications,368222,Insider,Zero-day,56,38.65
SQL Injection,Healthcare,826937,Unknown,Zero-day,64,77.3
Ransomware,Retail,673959,Hacker Group,Zero-day,39,89.93
Ransomware,Education,383246,Nation-state,Unpatched Software,45,4.29
Man-in-the-Middle,Banking,422890,Insider,Social Engineering,4,76.03
Malware,Banking,497035,Hacker Group,Zero-day,66,42.3
Phishing,Government,720220,Unknown,Weak Passwords,71,72.57
Phishing,Government,808318,Nation-state,Social Engineering,57,93.7
SQL Injection,IT,294981,Unknown,Zero-day,3,68.63
Phishing,Healthcare,281182,Nation-state,Zero-day,27,52.7
Ransomware,Education,95750,Nation-state,Zero-day,44,66.56
Ransomware,Retail,879260,Hacker Group,Social Engineering,16,91.03
Man-in-the-Middle,IT,561615,Hacker Group,Weak Passwords,29,14.74
SQL Injection,Retail,206598,Unknown,Zero-day,45,40.29
Man-in-the-Middle,IT,171305,Unknown,Unpatched Software,54,56.83
SQL Injection,Government,492909,Unknown,Zero-day,42,63.45
Man-in-the-Middle,IT,477493,Hacker Group,Unpatched Software,16,72.57
Phishing,Government,622723,Nation-state,Weak Passwords,67,22.94
Malware,Healthcare,124155,Nation-state,Weak Passwords,40,80.22
Malware,Retail,897277,Unknown,Zero-day,55,34.49
SQL Injection,Healthcare,28682,Hacker Group,Zero-day,44,51.26
Phishing,Banking,512431,Nation-state,Unpatched Software,44,73.04
SQL Injection,IT,171977,Unknown,Zero-day,44,19.14
SQL Injection,Telecommunications,943070,Hacker Group,Zero-day,36,38.72
DDoS,Education,887855,Nation-state,Zero-day,7,14.88
Ransomware,Retail,535110,Nation-state,Zero-day,2,54.05
Man-in-the-Middle,Telecommunications,817386,Nation-state,Zero-day,8,42.29
Phishing,Banking,206552,Nation-state,Weak Passwords,13,96.59
Man-in-the-Middle,Education,154966,Hacker Group,Zero-day,19,71.35
Phishing,Banking,511287,Unknown,Unpatched Software,34,54.5
SQL Injection,Banking,426499,Unknown,Unpatched Software,37,94.48
Man-in-the-Middle,Telecommunications,15907,Hacker Group,Social Engineering,36,73.63
Phishing,Education,375734,Nation-state,Weak Passwords,31,36.15
Malware,Government,993826,Unknown,Zero-day,7,19.18
Ransomware,Banking,397813,Nation-state,Social Engineering,12,83.18
Ransomware,Banking,185001,Insider,Zero-day,3,70.98
DDoS,IT,805548,Insider,Unpatched Software,10,7.99
SQL Injection,Retail,562552,Nation-state,Unpatched Software,37,74.74
Malware,Education,724513,Nation-state,Zero-day,46,33.12
SQL Injection,Telecommunications,715395,Unknown,Social Engineering,60,54.1
Ransomware,Telecommunications,177097,Unknown,Unpatched Software,15,75.13
Man-in-the-Middle,Banking,407084,Unknown,Unpatched Software,11,56.34
Phishing,Healthcare,889641,Hacker Group,Social Engineering,50,23.66
SQL Injection,IT,378105,Unknown,Weak Passwords,4,17.81
SQL Injection,Education,597987,Hacker Group,Weak Passwords,50,43.96
Malware,Education,10600,Insider,Social Engineering,47,77.07
SQL Injection,Healthcare,586784,Hacker Group,Weak Passwords,26,10.82
SQL Injection,Banking,421083,Insider,Unpatched Software,28,48.53
Ransomware,Education,127127,Unknown,Social Engineering,47,94.86
Malware,Government,668188,Insider,Unpatched Software,38,15.92
SQL Injection,Education,433618,Hacker Group,Social Engineering,59,11.28
Malware,Telecommunications,51176,Unknown,Social Engineering,61,3.86
SQL Injection,IT,918452,Unknown,Weak Passwords,16,34.35
Ransomware,Healthcare,152814,Nation-state,Social Engineering,33,84.92
Man-in-the-Middle,Retail,502149,Hacker Group,Weak Passwords,29,74.57
Ransomware,Healthcare,46960,Nation-state,Zero-day,16,89.81
SQL Injection,Government,651335,Insider,Weak Passwords,21,40.66
DDoS,Telecommunications,587034,Hacker Group,Weak Passwords,35,69.83
Man-in-the-Middle,Healthcare,856278,Hacker Group,Zero-day,71,79.58
DDoS,Banking,880586,Hacker Group,Unpatched Software,56,79.07
DDoS,Government,78873,Hacker Group,Weak Passwords,27,81.56
DDoS,Banking,810106,Hacker Group,Weak Passwords,66,62.81
DDoS,Government,937384,Hacker Group,Unpatched Software,67,28.71
Man-in-the-Middle,Retail,231307,Unknown,Zero-day,4,36.68
DDoS,IT,816710,Hacker Group,Weak Passwords,60,71.75
Man-in-the-Middle,Telecommunications,896828,Unknown,Weak Passwords,33,17.21
DDoS,Telecommunications,937466,Hacker Group,Social Engineering,28,48.47
DDoS,Banking,81518,Nation-state,Social Engineering,47,11.72
Malware,IT,371048,Hacker Group,Zero-day,56,1.35
Phishing,IT,25946,Hacker Group,Weak Passwords,68,20.13
Man-in-the-Middle,Education,942088,Insider,Zero-day,46,14.99
Malware,Telecommunications,915532,Insider,Zero-day,68,28.8
SQL Injection,Government,755576,Insider,Weak Passwords,23,99.49
Malware,Education,661644,Insider,Social Engineering,29,6.3
DDoS,Telecommunications,168951,Insider,Social Engineering,13,95.75
Man-in-the-Middle,IT,816398,Insider,Social Engineering,39,49.87
DDoS,Education,79933,Hacker Group,Zero-day,23,83.49
Malware,Government,506149,Nation-state,Social Engineering,35,83.84
Phishing,Retail,245015,Nation-state,Zero-day,41,81.26
SQL Injection,Banking,966993,Hacker Group,Social Engineering,64,66.81
Malware,Education,235062,Nation-state,Weak Passwords,32,88.87
Phishing,Healthcare,132520,Unknown,Zero-day,56,75.08
SQL Injection,Retail,869605,Unknown,Social Engineering,51,56.57
Phishing,Banking,637264,Hacker Group,Unpatched Software,11,96.27
DDoS,Banking,759356,Insider,Social Engineering,1,45.6
DDoS,Education,666096,Hacker Group,Zero-day,9,69.37
SQL Injection,Telecommunications,851981,Nation-state,Zero-day,57,68.91
Phishing,Banking,214740,Nation-state,Unpatched Software,57,14.97
Phishing,Government,372653,Hacker Group,Weak Passwords,60,35.94
Phishing,Banking,903871,Nation-state,Unpatched Software,17,64.23
Malware,Education,924049,Nation-state,Social Engineering,5,64.29
Malware,Government,193983,Nation-state,Zero-day,31,98.05
Ransomware,Telecommunications,904330,Nation-state,Weak Passwords,49,11.04
SQL Injection,Education,874254,Nation-state,Zero-day,11,52.05
Man-in-the-Middle,Healthcare,691190,Nation-state,Unpatched Software,27,28.81
DDoS,IT,412245,Nation-state,Social Engineering,48,61.42
Man-in-the-Middle,Healthcare,302180,Insider,Weak Passwords,11,53.77
Ransomware,Government,537592,Nation-state,Social Engineering,11,8.21
SQL Injection,Retail,632061,Nation-state,Zero-day,2,25.85
DDoS,Retail,224815,Nation-state,Social Engineering,32,67.52
DDoS,IT,169310,Unknown,Weak Passwords,36,23.91
Man-in-the-Middle,Telecommunications,635827,Nation-state,Social Engineering,72,86.98
Ransomware,IT,560021,Unknown,Zero-day,43,63.67
Man-in-the-Middle,Government,768506,Nation-state,Zero-day,11,61.03
Phishing,Healthcare,755469,Hacker Group,Social Engineering,58,39.94
Ransomware,Retail,205336,Hacker Group,Social Engineering,2,74.05
DDoS,IT,957779,Nation-state,Social Engineering,17,7.52
Malware,Education,85644,Hacker Group,Social Engineering,3,29.47
Man-in-the-Middle,Telecommunications,561713,Insider,Unpatched Software,31,75.99
Phishing,Healthcare,287762,Insider,Weak Passwords,13,53.57
Phishing,Healthcare,471550,Unknown,Zero-day,5,76.08
SQL Injection,IT,33209,Insider,Unpatched Software,66,69.19
Phishing,Retail,395251,Unknown,Unpatched Software,33,45.83
DDoS,IT,491791,Hacker Group,Zero-day,66,14.77
Phishing,Healthcare,279874,Hacker Group,Unpatched Software,66,53.81
Malware,IT,881326,Insider,Unpatched Software,43,71.94
DDoS,IT,749700,Nation-state,Zero-day,35,68.86
Phishing,Government,722445,Nation-state,Weak Passwords,10,97.56
Ransomware,Government,695841,Nation-state,Zero-day,21,84.13
SQL Injection,Government,803757,Hacker Group,Social Engineering,33,40.95
DDoS,IT,174510,Insider,Zero-day,60,20.16
SQL Injection,Retail,857660,Hacker Group,Zero-day,37,11.51
SQL Injection,Banking,729265,Unknown,Zero-day,42,47.67
Phishing,Retail,836604,Hacker Group,Unpatched Software,44,38.89
Malware,Government,885843,Insider,Unpatched Software,46,91.69
Man-in-the-Middle,Education,808798,Unknown,Social Engineering,60,17.94
Man-in-the-Middle,Telecommunications,401208,Hacker Group,Unpatched Software,10,30.5
Ransomware,Healthcare,380970,Nation-state,Weak Passwords,44,77.33
Phishing,Healthcare,248437,Hacker Group,Social Engineering,70,70.03
SQL Injection,Retail,709125,Hacker Group,Weak Passwords,37,66.49
Malware,Education,656250,Hacker Group,Social Engineering,67,5.33
Ransomware,Healthcare,32616,Unknown,Unpatched Software,63,10.46
Phishing,Healthcare,290846,Unknown,Weak Passwords,3,39.3
DDoS,Banking,557428,Insider,Unpatched Software,38,23.83
DDoS,Banking,182440,Insider,Zero-day,8,59.13
DDoS,Government,292383,Insider,Social Engineering,71,30.24
DDoS,Government,99728,Nation-state,Unpatched Software,44,86.82
DDoS,IT,365006,Insider,Weak Passwords,47,66.39
Ransomware,Telecommunications,605427,Nation-state,Zero-day,33,61.11
Malware,Retail,864358,Hacker Group,Unpatched Software,11,7.65
Ransomware,Retail,610968,Unknown,Unpatched Software,26,9.82
DDoS,IT,413150,Hacker Group,Social Engineering,27,67.28
Malware,Education,681956,Nation-state,Social Engineering,35,13.14
Man-in-the-Middle,IT,94162,Unknown,Weak Passwords,15,84.46
Man-in-the-Middle,Retail,565002,Hacker Group,Unpatched Software,72,9.43
Phishing,Retail,275185,Nation-state,Zero-day,20,90.69
DDoS,Retail,476758,Hacker Group,Unpatched Software,19,37.47
SQL Injection,Banking,312607,Hacker Group,Weak Passwords,24,7.2
Phishing,Banking,963192,Hacker Group,Weak Passwords,7,94.15
Malware,Healthcare,680874,Unknown,Zero-day,8,42.15
DDoS,Government,904770,Hacker Group,Social Engineering,4,15.71
SQL Injection,Government,429452,Hacker Group,Weak Passwords,6,98.46
Ransomware,Healthcare,858128,Hacker Group,Social Engineering,35,51.71
Malware,Education,615849,Nation-state,Unpatched Software,44,42.26
Phishing,Education,467349,Nation-state,Zero-day,44,99.45
SQL Injection,Retail,235418,Nation-state,Weak Passwords,28,63.74
SQL Injection,IT,823606,Insider,Weak Passwords,25,5.05
SQL Injection,IT,923489,Nation-state,Unpatched Software,66,89.38
Phishing,IT,630793,Hacker Group,Social Engineering,64,58.57
SQL Injection,Education,691903,Unknown,Zero-day,54,65.83
Phishing,Government,133632,Hacker Group,Weak Passwords,8,79.79
Phishing,Banking,42278,Insider,Weak Passwords,45,90.5
Phishing,IT,176471,Unknown,Zero-day,9,2.1
SQL Injection,Telecommunications,916516,Hacker Group,Social Engineering,68,63.72
SQL Injection,Government,510002,Hacker Group,Social Engineering,62,87.8
Malware,IT,435994,Nation-state,Unpatched Software,51,82.45
Ransomware,IT,537670,Hacker Group,Unpatched Software,55,66.19
Malware,Banking,850339,Hacker Group,Social Engineering,50,39.62
DDoS,Government,937562,Unknown,Zero-day,10,35.46
Malware,Government,405267,Nation-state,Unpatched Software,5,10.62
DDoS,Government,346279,Unknown,Zero-day,59,80.76
DDoS,Telecommunications,889928,Nation-state,Zero-day,63,10.45
SQL Injection,Healthcare,376206,Unknown,Unpatched Software,44,0.95
Ransomware,IT,227433,Unknown,Unpatched Software,13,27.14
Ransomware,Healthcare,393779,Nation-state,Weak Passwords,39,54.79
Ransomware,IT,529025,Insider,Unpatched Software,42,41.08
Man-in-the-Middle,Education,451311,Unknown,Weak Passwords,14,8.94
Ransomware,Education,677198,Unknown,Social Engineering,28,98.11
Man-in-the-Middle,Healthcare,480988,Nation-state,Unpatched Software,59,9.4
Ransomware,Telecommunications,605536,Nation-state,Unpatched Software,61,46.39
Ransomware,Banking,910960,Nation-state,Social Engineering,31,30.61
Ransomware,Banking,386308,Nation-state,Weak Passwords,3,43.98
Man-in-the-Middle,Banking,100855,Unknown,Social Engineering,2,54.38
Malware,Education,317922,Insider,Social Engineering,18,23.74
DDoS,IT,220618,Unknown,Weak Passwords,59,82.13
Ransomware,Telecommunications,825941,Hacker Group,Unpatched Software,54,24.7
Malware,Education,331234,Unknown,Social Engineering,3,60.9
Man-in-the-Middle,Telecommunications,855055,Hacker Group,Unpatched Software,59,14.61
DDoS,Telecommunications,305329,Unknown,Unpatched Software,40,34.31
Phishing,Government,442923,Nation-state,Social Engineering,57,32.39
Ransomware,Banking,893277,Unknown,Social Engineering,15,79.3
Malware,Healthcare,240532,Insider,Weak Passwords,64,30.86
DDoS,Healthcare,947960,Nation-state,Weak Passwords,55,93.14
Malware,Healthcare,437283,Insider,Zero-day,30,52.87
Malware,Healthcare,761390,Insider,Weak Passwords,7,29.61
Phishing,Retail,998507,Insider,Weak Passwords,15,25.75
DDoS,Retail,593329,Hacker Group,Unpatched Software,62,82.17
Phishing,Banking,197590,Insider,Zero-day,62,60.07
Ransomware,Banking,53111,Hacker Group,Social Engineering,15,50.75
Phishing,Retail,69641,Hacker Group,Unpatched Software,54,14.88
DDoS,IT,953770,Insider,Weak Passwords,54,73.98
SQL Injection,Retail,643549,Nation-state,Weak Passwords,20,42.33
Man-in-the-Middle,Education,899279,Insider,Zero-day,39,77.98
Ransomware,Education,857887,Unknown,Social Engineering,44,8.55
Phishing,Government,503775,Unknown,Zero-day,71,30.57
SQL Injection,IT,452892,Unknown,Weak Passwords,17,36.98
Ransomware,Healthcare,327566,Unknown,Unpatched Software,6,24.06
Ransomware,Education,851204,Insider,Zero-day,3,50.66
Man-in-the-Middle,Government,923309,Hacker Group,Unpatched Software,29,79.27
Phishing,Banking,151590,Nation-state,Zero-day,30,71.86
DDoS,Education,452432,Nation-state,Unpatched Software,8,21.01
Ransomware,Retail,769596,Nation-state,Weak Passwords,65,95.38
Phishing,Banking,407151,Unknown,Weak Passwords,37,14.79
DDoS,IT,312555,Nation-state,Social Engineering,67,45.97
Man-in-the-Middle,Government,311908,Unknown,Weak Passwords,68,76.39
Malware,Banking,59979,Insider,Zero-day,41,68.55
Malware,IT,233545,Unknown,Zero-day,55,9.86
Man-in-the-Middle,Retail,722081,Hacker Group,Zero-day,33,89.85
SQL Injection,Healthcare,873037,Nation-state,Unpatched Software,31,76.99
Malware,IT,482213,Nation-state,Social Engineering,3,12.08
Phishing,Education,512850,Hacker Group,Zero-day,15,39.72
Man-in-the-Middle,Telecommunications,849834,Hacker Group,Zero-day,56,37.73
Malware,Retail,660707,Insider,Unpatched Software,11,78.03
Ransomware,Education,697935,Unknown,Social Engineering,16,6.77
Malware,IT,500655,Nation-state,Zero-day,8,71.92
Ransomware,IT,239343,Nation-state,Zero-day,63,95.79
Phishing,Retail,143728,Unknown,Zero-day,57,90.04
Phishing,Retail,464717,Insider,Weak Passwords,27,99.64
SQL Injection,Education,351063,Nation-state,Weak Passwords,56,1.25
DDoS,Government,479025,Nation-state,Zero-day,54,13.96
DDoS,Banking,823004,Nation-state,Zero-day,22,1.62
DDoS,Education,394957,Hacker Group,Weak Passwords,27,18.47
Phishing,Telecommunications,96640,Unknown,Social Engineering,60,28.88
DDoS,Education,325634,Insider,Weak Passwords,5,19.5
SQL Injection,Government,662667,Hacker Group,Zero-day,30,29.63
Phishing,IT,107681,Unknown,Zero-day,18,57.24
Phishing,Banking,982243,Insider,Zero-day,6,3.2
SQL Injection,Government,950425,Unknown,Social Engineering,54,79.19
Ransomware,Education,279808,Insider,Social Engineering,60,80.5
SQL Injection,Telecommunications,190099,Unknown,Zero-day,15,71.2
Malware,Government,713035,Nation-state,Social Engineering,59,12.04
Malware,Retail,817347,Nation-state,Weak Passwords,68,29.05
Ransomware,Healthcare,707214,Unknown,Weak Passwords,11,28.18
DDoS,Retail,668780,Hacker Group,Zero-day,33,39.26
DDoS,Telecommunications,609196,Unknown,Social Engineering,4,57.21
Man-in-the-Middle,Telecommunications,980367,Nation-state,Unpatched Software,3,83.88
Man-in-the-Middle,IT,919858,Nation-state,Unpatched Software,47,84.1
DDoS,Healthcare,195459,Hacker Group,Weak Passwords,14,39.49
Man-in-the-Middle,Government,713342,Unknown,Weak Passwords,36,46.76
DDoS,Banking,19007,Nation-state,Unpatched Software,29,80.68
Ransomware,Government,963091,Insider,Zero-day,37,86.56
Malware,Government,726887,Hacker Group,Social Engineering,13,66.25
DDoS,IT,130413,Unknown,Social Engineering,66,78.76
Malware,Banking,906914,Hacker Group,Zero-day,15,97.68
Ransomware,IT,557218,Nation-state,Zero-day,70,14.94
SQL Injection,Banking,380543,Unknown,Weak Passwords,26,59.29
Malware,Retail,337363,Insider,Social Engineering,2,39.55
DDoS,IT,803086,Nation-state,Social Engineering,23,14.04
Man-in-the-Middle,IT,195858,Hacker Group,Zero-day,1,63.79
Malware,Banking,358371,Insider,Weak Passwords,30,37.03
Phishing,Retail,212267,Insider,Zero-day,14,9.12
Man-in-the-Middle,Healthcare,757744,Nation-state,Zero-day,43,52.04
Ransomware,Retail,747705,Insider,Unpatched Software,47,59.13
Phishing,Telecommunications,996651,Hacker Group,Weak Passwords,69,64.67
Ransomware,Government,281905,Insider,Social Engineering,32,52.78
Man-in-the-Middle,Healthcare,739981,Unknown,Social Engineering,54,7.44
SQL Injection,Telecommunications,554448,Hacker Group,Social Engineering,31,47.19
Ransomware,Healthcare,745103,Insider,Unpatched Software,8,99.19
DDoS,Healthcare,600279,Insider,Unpatched Software,16,10.94
Man-in-the-Middle,IT,973654,Unknown,Unpatched Software,23,48.86
DDoS,Telecommunications,78123,Hacker Group,Social Engineering,50,80.48
Man-in-the-Middle,Government,675955,Insider,Zero-day,60,69.96
DDoS,IT,122866,Insider,Unpatched Software,46,18.96
Ransomware,Education,177570,Nation-state,Social Engineering,72,66.33
Man-in-the-Middle,Retail,774913,Unknown,Unpatched Software,43,60.4
Phishing,IT,852327,Unknown,Zero-day,44,24.92
DDoS,IT,775033,Hacker Group,Zero-day,8,32.06
Phishing,Telecommunications,823093,Insider,Zero-day,36,71.77
Phishing,Government,947445,Insider,Social Engineering,59,70.59
DDoS,IT,972713,Unknown,Unpatched Software,71,75.34
Malware,Banking,116840,Unknown,Zero-day,51,9.99
Ransomware,Telecommunications,710953,Unknown,Zero-day,9,91.94
DDoS,IT,467190,Nation-state,Social Engineering,25,66.09
Phishing,Healthcare,540773,Unknown,Unpatched Software,15,66.73
SQL Injection,Banking,874040,Unknown,Social Engineering,6,40.11
SQL Injection,Healthcare,8498,Nation-state,Weak Passwords,17,60.71
DDoS,IT,112881,Hacker Group,Social Engineering,32,18.48
DDoS,IT,942725,Insider,Zero-day,56,9.9
Phishing,Education,168684,Nation-state,Unpatched Software,27,52.03
DDoS,Telecommunications,559274,Hacker Group,Social Engineering,27,25.06
Phishing,Retail,144856,Unknown,Unpatched Software,13,13.68
Malware,Banking,418914,Nation-state,Unpatched Software,53,2.63
Phishing,Retail,842945,Hacker Group,Weak Passwords,67,88.47
DDoS,Government,841198,Unknown,Zero-day,41,50.04
Phishing,Government,50054,Insider,Unpatched Software,24,19.52
DDoS,Telecommunications,52302,Unknown,Social Engineering,58,4.52
Man-in-the-Middle,Banking,694308,Nation-state,Weak Passwords,66,97.28
Malware,Telecommunications,520232,Nation-state,Weak Passwords,53,62.67
SQL Injection,Retail,575379,Unknown,Zero-day,35,46.34
Man-in-the-Middle,IT,850714,Hacker Group,Unpatched Software,6,26.45
SQL Injection,Healthcare,403325,Hacker Group,Weak Passwords,35,14.12
Phishing,Education,345577,Insider,Unpatched Software,4,80.99
Man-in-the-Middle,IT,428352,Hacker Group,Unpatched Software,41,30.51
Phishing,Banking,852592,Nation-state,Zero-day,12,69.45
SQL Injection,Education,36804,Unknown,Weak Passwords,30,78.12
Phishing,Telecommunications,725707,Hacker Group,Weak Passwords,9,92.63
Man-in-the-Middle,Telecommunications,765929,Nation-state,Weak Passwords,16,35.27
Man-in-the-Middle,Retail,242574,Nation-state,Social Engineering,59,17.22
SQL Injection,Education,838652,Unknown,Social Engineering,20,45.52
DDoS,Telecommunications,389405,Nation-state,Weak Passwords,53,99.04
Phishing,Telecommunications,359577,Unknown,Zero-day,38,56.44
Man-in-the-Middle,Telecommunications,943689,Insider,Zero-day,32,73.24
SQL Injection,Education,783795,Insider,Weak Passwords,43,14.69
DDoS,Healthcare,263506,Insider,Zero-day,49,72.05
DDoS,Telecommunications,457184,Insider,Social Engineering,11,20.59
SQL Injection,Banking,186842,Nation-state,Zero-day,40,68.44
DDoS,Banking,198929,Nation-state,Weak Passwords,41,8.81
SQL Injection,Retail,65700,Hacker Group,Zero-day,28,51.58
Phishing,Telecommunications,90156,Hacker Group,Unpatched Software,65,83.79
DDoS,Telecommunications,470471,Nation-state,Unpatched Software,53,14.55
Malware,Retail,33426,Unknown,Social Engineering,16,20.52
Malware,Education,143037,Insider,Unpatched Software,47,83.29
Ransomware,Telecommunications,151930,Unknown,Zero-day,4,79.77
Malware,Education,499651,Nation-state,Zero-day,50,97.2
DDoS,Education,249211,Insider,Zero-day,59,41.63
SQL Injection,IT,470074,Insider,Weak Passwords,9,1.01
Phishing,Banking,429920,Nation-state,Zero-day,37,87.5
SQL Injection,Healthcare,269314,Unknown,Social Engineering,64,0.75
Man-in-the-Middle,Healthcare,696199,Nation-state,Weak Passwords,42,37.16
Phishing,Banking,355505,Nation-state,Unpatched Software,35,98.38
DDoS,IT,890234,Nation-state,Unpatched Software,53,55.94
Ransomware,Telecommunications,581616,Insider,Social Engineering,1,23.63
SQL Injection,IT,155768,Nation-state,Social Engineering,19,39.44
Malware,Telecommunications,824298,Nation-state,Unpatched Software,4,83.69
Malware,Government,212533,Insider,Unpatched Software,71,28.88
Ransomware,Banking,47737,Hacker Group,Social Engineering,69,10.1
Man-in-the-Middle,IT,940513,Unknown,Unpatched Software,10,47.01
Man-in-the-Middle,Banking,292992,Insider,Zero-day,15,18.66
Malware,Telecommunications,639779,Nation-state,Zero-day,6,79.72
DDoS,Banking,949862,Hacker Group,Weak Passwords,25,29.85
Phishing,Healthcare,260396,Hacker Group,Zero-day,16,0.92
Phishing,IT,215376,Nation-state,Social Engineering,18,92.48
DDoS,Telecommunications,689397,Insider,Social Engineering,68,20.09
SQL Injection,Education,238092,Nation-state,Zero-day,32,16.24
Phishing,Banking,289539,Nation-state,Unpatched Software,27,18.42
DDoS,Healthcare,382327,Insider,Zero-day,30,49.02
Phishing,Government,605810,Unknown,Zero-day,41,12.43
DDoS,Banking,588345,Insider,Unpatched Software,49,1.27
Phishing,Government,831367,Insider,Social Engineering,55,21.58
Man-in-the-Middle,Banking,880671,Hacker Group,Social Engineering,66,14.64
DDoS,Retail,418211,Insider,Unpatched Software,39,92.32
Man-in-the-Middle,Retail,264380,Insider,Zero-day,37,31.4
Phishing,Banking,437974,Hacker Group,Zero-day,20,9.25
Phishing,IT,713949,Hacker Group,Unpatched Software,71,37.1
SQL Injection,IT,523164,Hacker Group,Weak Passwords,30,8.5
DDoS,Telecommunications,193852,Insider,Zero-day,54,85.23
DDoS,Retail,655640,Nation-state,Zero-day,61,14.09
Phishing,IT,573328,Insider,Zero-day,10,76.02
Malware,Government,798717,Hacker Group,Social Engineering,10,46.27
DDoS,Telecommunications,899413,Nation-state,Weak Passwords,11,59.86
SQL Injection,Healthcare,436009,Nation-state,Social Engineering,44,18.75
SQL Injection,Retail,142291,Nation-state,Weak Passwords,29,56.3
Man-in-the-Middle,Government,276197,Unknown,Zero-day,2,64.8
Ransomware,IT,807918,Hacker Group,Social Engineering,37,33.61
Man-in-the-Middle,Telecommunications,483484,Hacker Group,Unpatched Software,2,90.99
Ransomware,IT,7290,Insider,Weak Passwords,32,41.79
DDoS,IT,333967,Insider,Zero-day,26,38.69
Man-in-the-Middle,Education,840118,Hacker Group,Zero-day,58,84.4
Malware,Healthcare,187312,Nation-state,Zero-day,58,69.46
DDoS,IT,470727,Unknown,Weak Passwords,8,34.46
Malware,Education,629490,Hacker Group,Zero-day,38,95.97
SQL Injection,Government,904598,Hacker Group,Social Engineering,11,98.76
Ransomware,Education,820632,Unknown,Social Engineering,65,12.59
DDoS,Retail,214152,Insider,Weak Passwords,7,78.78
DDoS,Banking,18766,Insider,Weak Passwords,43,21.11
Malware,Banking,760230,Nation-state,Zero-day,56,50.19
Ransomware,Healthcare,603402,Insider,Zero-day,57,76.83
Man-in-the-Middle,Healthcare,693907,Hacker Group,Zero-day,54,17.49
SQL Injection,Banking,698892,Unknown,Zero-day,24,66.78
Phishing,IT,64082,Unknown,Social Engineering,16,24.17
Ransomware,IT,687052,Nation-state,Unpatched Software,34,38.84
Phishing,Government,417488,Hacker Group,Weak Passwords,23,14.98
Ransomware,Telecommunications,970038,Nation-state,Zero-day,47,15.14
SQL Injection,Government,240441,Unknown,Zero-day,17,10.4
Man-in-the-Middle,Banking,747418,Insider,Unpatched Software,20,59.67
Malware,Retail,977185,Insider,Social Engineering,71,36.66
Malware,Retail,267401,Unknown,Zero-day,20,58.98
Ransomware,Retail,496271,Hacker Group,Unpatched Software,20,19.47
Phishing,Banking,104619,Insider,Unpatched Software,68,64.62
Ransomware,Healthcare,877571,Insider,Weak Passwords,19,98.25
Ransomware,Healthcare,93314,Hacker Group,Unpatched Software,24,41.88
DDoS,Government,790415,Hacker Group,Zero-day,52,13.22
Ransomware,IT,107180,Nation-state,Zero-day,68,54.65
Phishing,IT,401960,Nation-state,Unpatched Software,44,72.01
Ransomware,Telecommunications,602474,Unknown,Social Engineering,71,93.89
Phishing,Education,701144,Hacker Group,Unpatched Software,41,18.64
Malware,Education,116714,Insider,Social Engineering,37,64.05
Man-in-the-Middle,IT,453408,Nation-state,Social Engineering,8,41.79
Phishing,Retail,40843,Unknown,Weak Passwords,66,13.37
Man-in-the-Middle,Healthcare,336650,Hacker Group,Zero-day,35,1.62
Phishing,Healthcare,911233,Hacker Group,Weak Passwords,18,92.64
Ransomware,Telecommunications,812908,Hacker Group,Weak Passwords,12,32.18
SQL Injection,Education,796878,Nation-state,Zero-day,26,64.26
Man-in-the-Middle,Government,738014,Unknown,Social Engineering,24,81.57
DDoS,Education,315915,Nation-state,Social Engineering,52,87.32
Ransomware,Education,164734,Nation-state,Unpatched Software,7,70.44
Man-in-the-Middle,IT,617939,Unknown,Zero-day,22,1.75
Phishing,Healthcare,374164,Hacker Group,Weak Passwords,53,96.81
Phishing,Banking,332766,Hacker Group,Weak Passwords,53,74.51
Phishing,Healthcare,414899,Unknown,Weak Passwords,37,2.52
DDoS,Retail,140371,Hacker Group,Zero-day,13,81.63
Ransomware,Education,729109,Insider,Weak Passwords,22,43.53
DDoS,Education,776200,Unknown,Weak Passwords,49,84.28
Phishing,Healthcare,839921,Unknown,Zero-day,5,17.6
Malware,Education,312314,Unknown,Social Engineering,35,31.35
Man-in-the-Middle,Healthcare,299613,Hacker Group,Zero-day,20,65.72
Phishing,Banking,250482,Insider,Weak Passwords,20,43.81
DDoS,Banking,230110,Unknown,Social Engineering,51,84.41
SQL Injection,Retail,852650,Nation-state,Social Engineering,50,55.78
DDoS,Telecommunications,337890,Unknown,Weak Passwords,35,67.47
Malware,Education,557108,Nation-state,Zero-day,17,8.08
DDoS,Telecommunications,299968,Insider,Zero-day,46,46.2
Phishing,Telecommunications,459296,Nation-state,Weak Passwords,13,72.06
Ransomware,Telecommunications,46972,Nation-state,Social Engineering,23,90.48
Malware,Healthcare,602041,Hacker Group,Unpatched Software,25,21.26
Phishing,Banking,36797,Insider,Unpatched Software,2,82.93
